Date,NVDA.US_Close,TSLA.US_Close,AAPL.US_Close,GOOG.US_Close,NVDA.US_High,TSLA.US_High,AAPL.US_High,GOOG.US_High,NVDA.US_Low,TSLA.US_Low,AAPL.US_Low,GOOG.US_Low,NVDA.US_Open,TSLA.US_Open,AAPL.US_Open,GOOG.US_Open,NVDA.US_Volume,TSLA.US_Volume,AAPL.US_Volume,GOOG.US_Volume
2021-09-07,226.266,250.973,155.556,145.519,228.632,253.4,156.124,145.824,224.876,246.42,153.273,144.541,227.973,246.667,153.841,144.749,19841399.012926,60119475.0,82876563.535088,15172600.0
2021-09-03,228.073,244.523,153.183,144.775,229.501,244.667,153.501,145.377,221.652,241.4,151.997,143.505,222.901,244.083,152.655,144.146,28126694.148246,45813135.0,58286851.733087,19110480.0
2021-09-02,223.611,244.13,152.545,144.219,225.576,246.99,153.591,146.325,222.601,243.513,151.308,144.106,224.826,244.833,152.754,145.95,18840092.328999,38390217.0,71688853.396291,21855800.0
2021-09-01,224.059,244.697,151.418,145.842,226.615,247.33,153.851,146.82,223.221,243.757,151.249,145.614,224.497,244.693,151.737,145.65,20207945.679046,39613005.0,80897729.020975,15824680.0
2021-08-31,223.501,245.24,150.74,145.462,226.596,246.797,151.707,146.112,220.852,242.147,150.202,145.0,226.596,244.333,151.568,145.884,26025214.79797,62566308.0,87081778.334789,26756420.0
2021-08-30,226.486,243.637,152.026,145.469,230.031,243.667,152.385,146.489,225.116,237.577,147.53,144.6,227.903,238.238,147.919,144.704,26303296.52505,55812660.0,91618133.110802,16915900.0
2021-08-27,225.966,237.307,147.52,144.55,226.825,238.333,147.67,145.011,221.282,234.033,145.775,142.02,221.452,235.0,146.413,142.112,30524796.47717,41501289.0,56208166.579316,24568240.0
2021-08-26,220.294,233.72,146.463,142.123,223.011,238.467,148.038,143.135,217.516,232.54,146.443,142.092,221.612,236.103,147.291,142.618,23835098.292687,39642876.0,48950579.70377,14922000.0
2021-08-25,221.742,237.067,147.281,142.95,224.309,238.99,149.234,143.313,216.838,234.667,146.723,142.44,216.987,235.677,148.726,142.883,34830098.520909,37936686.0,59420264.371246,12843060.0
2021-08-24,217.546,236.163,148.537,142.398,219.206,238.407,149.774,143.008,214.97,234.213,148.068,141.354,217.147,236.893,148.368,141.544,29781188.959668,39249213.0,48959878.982303,15126260.0
2021-08-23,219.196,235.433,148.626,141.099,219.586,237.377,149.106,142.177,209.127,226.917,146.812,138.748,209.337,228.481,147.231,138.998,57680011.346406,60794577.0,60569070.82104,21089680.0
2021-08-20,207.789,226.753,147.111,138.437,208.279,230.71,147.42,138.614,198.991,224.567,145.725,136.467,199.57,227.617,146.373,137.083,67690727.237493,44525595.0,60989928.623747,15566740.0
2021-08-19,197.652,224.49,145.645,136.914,204.593,228.85,146.922,137.452,187.305,222.53,143.462,135.356,194.606,226.07,143.991,135.468,76787743.307625,42940458.0,87592659.894206,18295920.0
2021-08-18,190.08,229.663,145.307,136.57,196.006,231.923,149.634,138.294,189.681,223.117,145.097,136.421,194.676,223.249,148.716,137.116,28640681.711929,61048125.0,86953726.938365,14934460.0
2021-08-17,194.256,221.903,149.106,137.3,197.372,224.86,150.59,138.718,192.348,216.28,148.008,136.788,196.525,224.217,149.145,138.191,20493785.134669,71163837.0,92900401.409876,21274020.0
2021-08-16,199.16,228.723,150.032,138.916,202.525,236.5,150.102,138.99,194.206,225.467,145.417,136.166,201.007,235.023,147.46,138.0,21151713.206267,69309909.0,104311830.86536,18050840.0
2021-08-13,201.536,239.057,148.018,138.406,201.796,243.3,148.368,138.674,198.181,238.113,147.191,138.005,198.711,241.237,147.889,138.358,18337872.522618,50194401.0,59806766.701072,12580580.0
2021-08-12,198.711,240.75,147.809,138.39,199.95,240.933,147.969,138.418,195.876,233.133,144.789,136.779,198.361,235.447,145.137,137.713,15212358.987097,53045058.0,74315612.208366,14649400.0
2021-08-11,196.665,235.94,144.809,137.69,200.149,238.393,145.665,138.848,193.976,234.737,144.489,137.35,200.089,237.57,144.997,138.283,18624565.048028,29401674.0,48846092.966023,15209660.0
2021-08-10,199.021,236.663,144.559,138.096,203.943,238.863,146.633,138.552,198.012,233.96,144.26,137.227,202.875,237.997,145.387,138.08,17954705.013208,40296915.0,69524996.239696,16039080.0
2021-08-09,202.605,237.92,145.037,138.002,204.723,239.677,145.645,138.322,201.087,235.043,144.479,136.429,204.103,236.723,145.147,136.949,14669577.314299,44146047.0,49264338.825972,12379560.0
2021-08-06,203.314,233.033,145.087,137.036,205.332,238.777,146.045,137.08,201.756,232.543,144.579,136.046,204.883,237.3,145.297,136.295,17880460.907738,46869147.0,54520407.206815,13565020.0
2021-08-05,206.001,238.21,145.785,136.94,206.96,240.317,146.543,136.95,203.074,237.137,144.898,135.6,204.643,238.667,145.705,136.028,21180018.702641,38758911.0,46805083.381342,11871780.0
2021-08-04,202.396,236.973,145.675,136.028,202.835,241.633,146.493,136.538,197.952,236.31,145.007,135.415,199.56,237.0,145.985,136.249,23170851.296874,51007941.0,56863231.591751,16527140.0
2021-08-03,197.822,236.58,146.075,136.28,201.876,240.883,146.743,136.336,191.878,233.67,143.921,134.184,197.074,239.667,144.549,136.0,30233150.740209,64860759.0,65355499.055066,19064000.0
2021-08-02,197.173,236.557,144.26,135.99,199.27,242.313,145.675,136.02,193.288,232.8,143.991,134.67,196.675,233.333,145.087,135.484,21781916.509749,100847295.0,63432099.114082,20140040.0
2021-07-30,194.666,229.067,144.589,135.221,195.976,232.51,145.057,135.771,192.308,223.0,142.854,134.814,193.856,223.919,143.124,135.511,18381408.118226,88969233.0,71059152.51462,23954500.0
2021-07-29,196.295,225.783,144.379,136.54,198.191,227.897,145.277,137.152,192.958,216.267,143.323,136.138,194.866,216.597,143.432,136.381,19111006.067095,91183911.0,57197343.605847,19283340.0
2021-07-28,194.706,215.66,143.722,136.382,196.135,218.323,145.695,139.676,189.631,213.133,141.299,136.35,192.868,215.665,143.582,138.562,20254002.436305,48019788.0,119975505.13594,54688340.0
2021-07-27,191.758,214.927,145.497,136.796,195.896,222.167,147.909,140.011,187.095,209.08,144.29,135.1,192.328,221.133,147.829,140.011,24929197.342445,98439870.0,105738971.71295,42163060.0
2021-07-26,192.618,219.207,147.69,139.644,194.096,222.733,148.527,139.713,188.822,215.703,146.413,137.651,192.788,216.99,146.972,138.25,20429504.523872,76009668.0,73070120.74539,23052460.0
2021-07-23,195.256,214.46,147.261,137.816,196.675,216.267,147.42,138.808,192.178,212.433,145.645,134.7,196.235,215.453,146.263,135.26,19600959.490878,43814832.0,72074783.987495,26377740.0
2021-07-22,195.616,216.42,145.527,133.329,198.531,220.723,146.892,133.504,192.438,214.867,144.549,132.4,196.096,218.814,144.669,132.65,32438469.309568,45317181.0,78017248.657258,13608140.0
2021-07-21,193.776,218.43,144.14,132.6,194.946,221.62,144.858,132.617,187.105,216.763,143.373,130.602,188.432,219.87,144.27,130.787,37165752.536821,41860014.0,75651963.97193,14741640.0
2021-07-20,185.807,220.167,144.878,131.102,188.064,220.797,145.825,132.001,181.332,213.5,141.718,129.188,186.985,217.33,142.216,130.004,43543657.718757,46461381.0,97196067.265678,19083120.0
2021-07-19,187.485,215.407,141.21,129.254,190.1,215.733,142.814,131.247,178.356,207.097,140.432,128.537,178.845,209.963,142.496,131.156,75035122.441686,63891270.0,122500867.60797,25709320.0
2021-07-16,181.302,214.74,145.117,131.846,191.25,218.9,148.457,132.183,180.423,214.067,144.609,130.821,189.981,218.227,147.161,131.641,68941013.152651,49112910.0,94070249.84706,14861180.0
2021-07-15,189.342,216.867,147.181,131.266,198.141,222.047,148.696,132.595,188.273,212.627,145.815,130.598,197.792,219.463,147.939,132.5,55151449.415231,60628713.0,107758266.26355,16586320.0
2021-07-14,198.091,217.793,147.849,132.082,203.833,226.203,148.268,132.996,197.203,217.613,146.393,131.898,203.234,223.583,146.802,131.902,38075504.406867,64923570.0,128166395.12889,17918540.0
2021-07-13,202.156,222.847,144.379,130.994,204.253,231.093,146.175,132.042,200.798,222.099,142.386,130.637,203.653,228.773,142.804,130.882,29120791.791711,62898276.0,101712443.28753,16617960.0
2021-07-12,204.763,228.567,143.243,130.564,204.973,229.08,145.047,130.77,201.536,220.72,142.744,129.6,202.056,220.733,144.938,129.834,32254034.019361,77781126.0,76969693.105221,16950920.0
2021-07-09,200.159,218.983,143.851,129.574,200.458,219.637,144.389,129.849,197.213,214.897,141.408,128.944,199.28,217.728,141.508,128.944,29713449.010704,54421644.0,100767924.06263,15109320.0
2021-07-08,198.691,217.603,141.996,129.177,200.987,218.143,142.804,130.032,196.685,206.82,139.435,128.04,198.221,209.457,140.342,128.25,50416809.962939,68319948.0,106502498.55113,19779500.0
2021-07-07,203.374,214.883,143.313,130.078,208.379,221.9,143.632,130.64,202.975,212.773,141.418,129.76,208.169,221.423,142.286,130.341,41914925.214437,56375880.0,105832799.03607,16683720.0
2021-07-06,206.611,219.86,140.78,129.771,208.049,228.0,141.908,129.884,203.154,217.133,138.857,128.409,207.01,227.237,138.857,129.45,44747825.800066,69853350.0,109131717.84538,21350340.0
2021-07-02,204.513,226.3,138.747,128.719,204.693,233.333,138.787,128.848,202.535,224.42,136.553,126.769,204.043,226.327,136.703,126.84,34398919.803271,81292122.0,79638779.633277,21165120.0
2021-07-01,201.776,225.973,136.075,126.368,204.203,229.33,136.135,126.462,199.85,224.267,134.58,124.85,200.907,227.973,135.417,124.85,48096339.988502,55903566.0,52946650.509441,17124600.0
2021-06-30,199.68,226.567,135.776,125.316,201.276,230.937,136.214,125.8,198.301,226.047,134.69,124.758,199.65,226.59,134.988,125.654,32712964.539016,56774586.0,63816880.20974,24009560.0
2021-06-29,199.93,226.92,135.148,126.018,200.648,229.17,135.308,127.0,196.245,225.297,133.174,125.437,198.481,228.217,133.622,126.772,36826818.498187,52143939.0,65122936.84769,20949560.0
2021-06-28,199.51,229.573,133.602,126.819,200.448,231.567,134.061,127.337,192.868,223.44,132.197,125.974,193.288,223.88,132.257,127.0,49629141.190628,64884477.0,62656691.146117,28110860.0
2021-06-25,189.991,223.957,131.957,126.995,193.138,231.27,132.725,127.505,188.622,222.9,131.659,126.444,192.478,229.86,132.307,126.957,27884623.580791,97490121.0,71405285.082481,33485940.0
2021-06-24,191.738,226.607,132.257,127.282,193.876,232.54,133.463,127.536,190.56,222.537,131.778,126.96,191.958,224.997,133.274,127.054,32147613.56329,137947158.0,69314337.639843,18933240.0
2021-06-23,190.25,218.857,132.536,126.462,191.21,219.068,133.144,127.796,188.762,210.013,132.077,126.252,189.761,210.667,132.605,126.55,33293050.993701,93297684.0,60742930.51769,19693160.0
2021-06-22,188.552,207.903,132.815,126.999,189.322,209.523,132.905,127.27,183.549,205.167,130.472,126.027,184.409,206.083,130.981,126.45,58114657.412255,57476676.0,75440280.254759,20986200.0
2021-06-21,183.959,206.943,131.15,126.455,185.049,210.463,131.259,127.037,177.926,202.96,128.09,125.134,184.039,208.16,129.166,125.74,67354231.256293,74438223.0,80362825.411981,26256520.0
2021-06-18,186.077,207.77,129.315,125.568,193.426,209.45,130.363,126.389,185.528,203.933,129.106,124.603,187.525,204.457,129.565,125.706,97052599.354849,73682715.0,109910009.58271,53306200.0
2021-06-17,186.257,205.533,130.641,126.371,188.034,207.157,131.399,127.196,177.257,200.447,128.528,125.515,177.447,200.629,128.678,125.523,81105189.580776,68104050.0,97570965.307578,25755820.0
2021-06-16,177.796,201.623,129.016,125.696,179.245,202.833,129.744,126.523,175.541,197.833,127.342,124.15,177.607,199.178,129.226,126.247,30765253.020566,66432381.0,92621238.492605,26316760.0
2021-06-15,177.577,199.787,128.518,126.033,179.854,205.597,129.455,126.862,176.978,199.41,128.269,125.648,178.845,205.563,128.817,126.522,24344977.704562,53292435.0,63297296.186666,22182600.0
2021-06-14,179.884,205.897,129.335,126.352,180.093,208.497,129.395,126.412,176.329,203.06,125.966,125.047,178.755,204.077,126.704,125.67,32192879.328609,61271949.0,97757408.269164,22550440.0
2021-06-11,177.946,203.297,126.235,125.696,179.085,204.187,126.324,126.349,174.141,200.507,125.009,124.914,174.501,203.41,125.437,126.246,41702595.943916,48615909.0,53992343.397232,25246180.0
2021-06-10,173.951,203.373,125.019,126.08,174.621,205.53,127.072,126.163,171.465,200.167,124.849,124.7,173.203,201.293,125.916,124.7,28826696.983503,71758818.0,71811497.349013,31234660.0
2021-06-09,173.283,199.593,126.026,124.57,175.451,203.93,126.634,125.25,172.265,199.21,125.427,124.366,174.861,200.723,126.096,124.975,38231601.159263,49753698.0,57377372.061314,20126740.0
2021-06-08,174.231,201.197,125.637,124.142,175.881,207.697,127.342,124.725,172.175,198.5,125.118,123.412,174.931,207.67,125.507,123.995,32447989.248002,78160215.0,75057101.030292,25065060.0
2021-06-07,175.851,201.71,124.809,123.304,177.776,203.333,125.228,123.4,171.595,194.293,123.753,122.054,175.371,197.275,125.079,122.566,57688055.434055,67631046.0,71681494.016871,23849060.0
2021-06-04,175.441,199.683,124.799,122.588,176.27,200.203,125.069,122.693,170.625,192.4,122.765,120.888,170.785,193.237,122.985,121.126,61832677.978425,72110688.0,75829392.521242,25948680.0
2021-06-03,169.367,190.947,122.467,120.23,172.255,201.517,123.763,120.487,165.502,190.407,122.058,119.142,166.68,200.6,123.593,119.751,58114073.680229,90335679.0,76898525.689484,18345820.0
2021-06-02,167.45,201.707,123.972,121.064,168.858,207.787,124.151,122.1,162.027,199.713,122.965,120.21,162.196,206.71,123.205,121.766,59532917.975232,69908337.0,59799379.236245,17162100.0
2021-06-01,162.326,207.967,123.195,121.49,163.554,211.267,124.261,121.899,158.711,206.85,122.855,120.244,162.376,209.267,123.991,121.1,47372734.554519,54254670.0,68231028.362926,19165780.0
2021-05-28,162.117,208.407,123.523,120.578,162.446,211.863,124.709,121.407,154.695,207.46,123.463,120.384,154.695,209.5,124.481,121.098,64579568.703794,68211114.0,71937278.842803,24107640.0
